domain_id	specificity
ADH04678.1.A1	pipecolic acid
ADH04679.1.A1	isoleucine
ADH04679.1.A2	valine
ADH04680.1.A1	cysteine
ADI24927.1.A1	malonamate
ADI58643.1.A1	3-amino-4-hydroxybenzoic acid
ADJ63842.1.A2	3-hydroxyaspartic acid
ADJ63842.1.A3	serine
ADJ63842.1.A4	3-hydroxyaspartic acid
ADJ63842.1.A5	threonine
ADJ63842.1.A6	serine
ADJ63842.1.A7	N5-hydroxyornithine
ADL64235.1.A1	valine
ADL64235.1.A2	tyrosine
ADM34138.1.A1	proline
ADM34138.1.A2	tryptophan
ADN43685.1.A1	tyrosine
ADQ55475.1.A1	3-hydroxy-O-methyl-5-methyltyrosine
ADQ55476.1.A1	fatty acid
ADQ55476.1.A2	cysteine
ADQ74618.1.A1	proline
ADY16689.1.A1	2-aminoisobutyric acid
ADY16697.1.A1	anthranilic acid
ADY16697.1.A2	tryptophan
ADY16697.1.A3	alanine
ADY76664.1.A1	meta-tyrosine
ADY76667.1.A1	2S,3S-diaminobutyric acid
ADY76674.1.A1	6-hydroxy-tetrahydro-isoquinoline-3-carboxylic acid
ADY76684.1.A1	methionine
ADZ24989.1.A1	proline
ADZ24995.1.A1	threonine|4-hydroxythreonine
ADZ24999.1.A1	proline
AEA29643.1.A1	3-methoxyanthranilic acid
AEA29644.1.A1	4R-propylproline
AEA30272.1.A1	threonine
AEA30272.1.A2	alanine
AEA30272.1.A3	3S-methylaspartic acid|aspartic acid
AEA30272.1.A4	glycine
AEA30273.1.A1	phenylalanine
AEA30273.1.A2	proline
AEA30273.1.A3	O-methyltyrosine
AEA30273.1.A4	tryptophan
AEA30274.1.A1	glycine
AEA30274.1.A2	leucine
AEA30274.1.A3	3S-hydroxyleucine|leucine
AEA35021.1.A1	tricarballylic acid
AEA35027.1.A1	10,14-dimethyloctadecanoic acid
AEC14346.1.A1	threonine
AEC14346.1.A2	leucine
AEC14347.1.A1	phenylalanine
AEC14348.1.A1	phenylalanine
AEC14349.1.A1	valine
AED90002.1.A1	serine
AED90002.1.A2	ornithine
AED90002.1.A4	homoserine
AED90002.1.A5	histidine
AED90003.1.A1	threonine
AED90003.1.A2	threonine
AED90003.1.A3	3-hydroxyaspartic acid
AED90004.1.A1	threonine
AEF33078.1.A1	threonine
AEF33078.1.A2	3-(3-pyridyl)-alanine
AEG64689.1.A1	2,3-diaminopropionic acid
AEG64696.1.A1	aspartic acid
AEG64696.1.A2	pipecolic acid
AEG64697.1.A1	glycine
AEG64697.1.A2	aspartic acid
AEG64697.1.A3	glycine
AEG64697.1.A4	aspartic acid
AEG64697.1.A5	glycine
AEG64697.1.A6	threonine|allo-threonine
AEG64698.1.A1	isoleucine
AEG64698.1.A2	proline
AEH41793.1.A1	3-(2-nitrocyclopropylalanine)
AEH41793.1.A2	threonine
AEH41793.1.A3	R-beta-methylphenylalanine
AEH41793.1.A4	3-(2-nitrocyclopropylalanine)
AEH41794.1.A1	R-beta-methylphenylalanine
AEH41794.1.A2	valine
AEH41794.1.A3	4S-propenylproline
AEH42484.1.A1	proline
AEH59099.1.A1	D-leucine|leucine|isoleucine
AEH59099.1.A2	leucine
AEH59099.1.A3	phenylalanine|beta-hydroxyphenylalanine
AEH59099.1.A4	leucine|3R-hydroxyleucine
AEH59100.1.A1	leucine
AEH59100.1.A2	arginine
AEH59100.1.A3	isoleucine
AEH59100.1.A4	threonine|allo-threonine
AEH59100.1.A5	glycine
AEH59100.1.A6	3S-hydroxyasparagine|asparagine
AEH59100.1.A7	serine
AEI58865.1.A1	leucine
AEI58865.1.A2	R-beta-hydroxytyrosine
AEI58865.1.A3	asparagine
AEI58866.1.A1	4-hydroxyphenylglycine
AEI58866.1.A2	4-hydroxyphenylglycine
AEI58866.1.A3	R-beta-hydroxytyrosine
AEI58867.1.A1	3,5-dihydroxyphenylglycine
AEI58879.1.A1	tyrosine
AEI70245.1.A1	alanine
AEI70245.1.A2	threonine
AEO57481.1.A1	3S-methylproline
AEP18655.1.A1	glutamic acid
AEP18655.1.A2	asparagine
AEP18655.1.A3	tryptophan
AEP18655.1.A4	ornithine
AEP18655.1.A5	valine
AEP18656.1.A1	serine
AEP18656.1.A2	3R-hydroxyasparagine|asparagine
AEP18656.1.A3	serine
AEP18656.1.A4	glycine
AEP18656.1.A5	phenylalanine
AEP18656.1.A6	leucine
AEP18656.1.A7	ornithine
AET13875.1.A1	glycine
AET13875.1.A2|AET13879.1.A2	glutamine
AET13875.1.A3	N5-trans-anhydromevalonyl-N5-hydroxyornithine
AET13879.1.A1	glycine
AET13879.1.A3	N5-trans-anhydromevalonyl-N5-hydroxyornithine
AET79179.1.A1|CCE30235.1.A1	D-lysergic acid
AET79183.1.A1|CCE30226.1.A1|sp_M1W0X8.1_LPSA1_CLAP2.A1	alanine
AET79183.1.A2|CCE30226.1.A2|sp_M1W0X8.1_LPSA1_CLAP2.A2	phenylalanine
AET79183.1.A3|CCE30226.1.A3|sp_M1W0X8.1_LPSA1_CLAP2.A3	proline
AET79184.1.A1|CCE30225.1.A1	alanine
AET79184.1.A2|CCE30225.1.A2	leucine
AET79184.1.A3|CCE30225.1.A3	proline
AET98905.1.A1	cysteine
AET98905.1.A2	valine
AET98906.1.A1	serine
AET98906.1.A2	alanine
AET98914.1.A1	quinoxaline-2-carboxylic acid
AET98916.1.A1	tryptophan
AEU11003.1.A1	proline
AEU11003.1.A2	phenylalanine
AEU11003.1.A3	isoleucine
AEU11003.1.A4	proline
AEU11006.1.A1	glutamine
AEU11006.1.A2	glycine
AEV21218.1.A1	alanine
AEV21218.1.A2	leucine
AEV21218.1.A3	alanine
AEV21228.1.A1	D-lysergic acid
AEV21230.1.A1	alanine
AEZ51516.1.A1	phenylalanine
AEZ51516.1.A2	leucine
AEZ51516.1.A3	2,4-diaminobutyric acid
AEZ51516.1.A4	2,4-diaminobutyric acid
AEZ51517.1.A1	threonine
AEZ51520.1.A1	2,4-diaminobutyric acid
AEZ51520.1.A2|B9TTF7.A2	threonine
AEZ51520.1.A3	2,4-diaminobutyric acid
AEZ51520.1.A4	2,4-diaminobutyric acid
AEZ51520.1.A5	2,4-diaminobutyric acid
AF047828.1.A1|O85168.A1|AAC80285.1.A1	serine
AF047828.1.A2|O85168.A2|AAC80285.1.A2	serine
AF047828.1.A3|AAC80285.1.A3|O85168.A3	2,4-diaminobutyric acid
AF047828.1.A4|AAC80285.1.A4|O85168.A4	2,4-diaminobutyric acid
AF047828.1.A5|O85168.A5|AAC80285.1.A5	arginine
AF047828.1.A6|O85168.A6|AAC80285.1.A6	phenylalanine
AF047828.1.A7|O85168.A7|AAC80285.1.A7	threonine
AF047828.1.A8|O85168.A8|AAC80285.1.A8	aspartic acid
AFA26384.1.A1	tryptophan
AFB76152.1.A1	4-hydroxyphenylpyruvic acid
AFH75320.1.A1	threonine
AFH75320.1.A2	proline
AFH75320.1.A3	serine
AFH75320.1.A4	leucine
AFH75320.1.A5	valine
AFH75320.1.A6	glutamine
AFH75321.1.A1	leucine
AFH75321.1.A2	valine
AFH75321.1.A3	valine
AFH75321.1.A4	glutamine
AFH75321.1.A5	leucine
AFH75321.1.A6	valine
AFH75322.1.A1	threonine
AFH75322.1.A2	threonine
AFH75322.1.A3	isoleucine
AFH75322.1.A4	homoserine
AFH75322.1.A5	2,4-diaminobutyric acid
AFH75322.1.A6	lysine
AFH75328.1.A1	leucine
AFH75328.1.A2	glutamic acid
AFH75329.1.A1	threonine
AFH75329.1.A2	valine
AFH75329.1.A3	leucine
AFH75329.1.A4	serine
AFH75330.1.A1	leucine
AFH75330.1.A2	leucine
AFH75330.1.A3	serine
AFH75330.1.A4	valine
AFI_55290.A1|XP_001258077.1.A1	anthranilic acid
AFI_55290.A2|XP_001258077.1.A2	tryptophan
AFJ14793.1.A1	2,4-diaminobutyric acid
AFJ14794.1.A1	isoleucine
AFJ14794.1.A2	2,4-diaminobutyric acid
AFJ14794.1.A3	phenylalanine
AFJ14794.1.A4	leucine
AFJ14794.1.A5	2,4-diaminobutyric acid
AFJ14794.1.A6	valine
AFJ14794.1.A7	leucine
AFJ14795.1.A1	serine
AFJ20782.1.A1	N5-acetyl-N5-hydroxyornithine
AFJ23819.1.A1	leucine
AFJ23819.1.A2	glutamic acid
AFJ23825.1.A1	threonine
AFJ23825.1.A2	valine
AFJ23825.1.A3	leucine
AFJ23825.1.A4	serine
AFJ23826.1.A1	leucine
AFJ23826.1.A2	serine
AFJ23826.1.A3	isoleucine
AFK57212.1.A1	glutamine
AFK57212.1.A2	glutamine
AFK57214.1.A1	proline
AFK57215.1.A1	leucine
AFK57215.1.A2	threonine
AFK57215.1.A3	isoleucine
AFK57219.1.A1	leucine
AFK57220.1.A1	proline
AFK57221.1.A1	tyrosine
AFN69082.1.A1	N5-cis-anhydromevalonyl-N5-hydroxyornithine
AFO85453.1.A1	isoleucine|valine
AFO85453.1.A2	tryptophan
AFP73394.1.A1	homoserine
AFP87549.1.A1	arginine
AFP87549.1.A2	leucine
AFP87549.1.A3	arginine
AFP87549.1.A4	arginine
AFP87549.1.A5	arginine
AFR69334.1.A1	alanine
AFR69334.1.A2	cysteine
AFR69334.1.A3	isoleucine|valine
AFT91378.1.A1	ornithine
AFT91378.1.A2	threonine
AFT91378.1.A3	4R-hydroxyproline
AFT91378.1.A4	3R-hydroxyhomotyrosine
AFT91378.1.A5	threonine
AFT91378.1.A6	3S-hydroxy-4S-methylproline
AFUA_8G00170.A1|BAH23995.1.A1	proline|tryptophan
AFUA_8G00170.A2|BAH23995.1.A2	proline|tryptophan
AFV52191.1.A1	R-aza-beta-tyrosine
AFZ61501.1.A1	leucine
AFZ61501.1.A2	glutamic acid
AFZ61525.1.A1	threonine
AFZ61525.1.A2	valine
AFZ61525.1.A3	leucine
AFZ61525.1.A4	serine
AFZ61526.1.A1	leucine
AFZ61526.1.A2	serine
AFZ61526.1.A3	isoleucine
AGA37267.1.A1	proline
AGA37267.1.A2	tryptophan
AGA37269.1.A1	4S-methylproline
AGA37269.1.A2	tryptophan
AGC24265.1.A1	proline
AGC45618.1.A1	alanine
AGC65513.1.A1	tyrosine|phenylalanine
AGC65514.1.A1	valine
AGC65514.1.A2	serine
AGC65514.1.A3	valine
AGC65515.1.A2	tyrosine
AGC65516.1.A1	valine
AGC65516.1.A2	serine
AGC65517.1.A1	tyrosine
AGC83576.1.A1	proline
AGC83576.1.A2	tryptophan
AGD80616.1.A1	beta-hydroxy-3-hydroxy-O-methyl-5-methyltyrosine
AGD80623.1.A1	alanine
AGD80623.1.A2	alanine
AGD80623.1.A3	alanine
AGE11891.1.A1	serine
AGE11892.1.A1	salicylic acid
AGE11898.1.A1	histidine
AGE11898.1.A2	lysine
AGE11899.1.A1	serine
AGE11899.1.A2	N5-hydroxyornithine
AGE25479.1.A1	threonine
AGE25479.1.A2	leucine
AGE25479.1.A3	leucine
AGE25479.1.A4	serine
AGE25480.1.A1	leucine
AGE25480.1.A2	leucine
AGE25480.1.A3	serine
AGE25480.1.A4	isoleucine
AGE26255.1.A1	leucine
AGE26255.1.A2	glutamic acid
AGM14925.1.A1	leucine
AGM14925.1.A2	glutamic acid
AGM14933.1.A1	glutamine
AGM14933.1.A2	valine
AGM14933.1.A3	leucine
AGM14933.1.A4	glutamine
AGM14933.1.A5	serine
AGM14933.1.A6	valine
AGM14933.1.A7	leucine
AGM14933.1.A8	glutamine
AGM14934.1.A1	leucine
AGM14934.1.A2	leucine
AGM14934.1.A3	glutamine
AGM14934.1.A4	isoleucine|valine
AGM16412.1.A1	ornithine
AGM16412.1.A2	valine
AGM16412.1.A3	threonine
AGM16412.1.A4	ornithine
AGM16412.1.A5	serine
AGM16413.1.A1	valine
AGM16413.1.A2	lysine
AGM16413.1.A3	serine
AGM16413.1.A4	isoleucine
AGM16413.1.A5	proline
AGM16414.1.A1	valine
AGM16414.1.A2	lysine
AGM16414.1.A3	isoleucine
AGN11881.1.A1	threonine
AGN74876.1.A1	threonine
AGN74876.1.A2	leucine
AGN74880.1.A1	3-hydroxypicolinic acid
AGN74885.1.A1	glycine
AGN74885.1.A2	3S-methylleucine
AGN74885.1.A3	alanine
AGN74885.1.A4	phenylglycine
AGN74886.1.A1	4R-hydroxyproline
AGN74892.1.A1	glycine
AGN74895.1.A1	serine
AGN74898.1.A1	cysteine
AGO86662.1.A1	serine
AGQ43600.1.A1	proline
AGQ43600.1.A2	alanine
AGQ43600.1.A3	D-alanine
AGQ43600.1.A4	2S-amino-9,10-epoxy-8-oxodecanoic acid
AGS06887.1.A1	glycine
AGS77307.1.A1	4-hydroxyphenylglycine
AGS77307.1.A2	tyrosine
AGS77308.1.A1	3,5-dihydroxyphenylglycine
AGS77309.1.A1	4-hydroxyphenylglycine
AGS77309.1.A2	4-hydroxyphenylglycine
AGS77309.1.A3	tyrosine
AGS77310.1.A1	3,5-dihydroxyphenylglycine
AGY30674.1.A1	2-amino-3-hydroxycyclopent-2-enone
AGY30675.1.A1	5-aminolevulinic acid
AGZ03650.1.A1	phenylalanine
AGZ03651.1.A1	alanine
AGZ03651.1.A2	tryptophan
AGZ15455.1.A1	leucine|alanine|valine
AGZ15458.1.A1	piperazic acid
AGZ15458.1.A2	alanine
AGZ15459.1.A1	piperazic acid
AGZ15459.1.A2	R-3-hydroxy-3-methylproline
AGZ15460.1.A1	valine
AGZ15476.1.A1	3S-hydroxyleucine
AHB38497.1.A1	isoleucine
AHB38497.1.A2	isoleucine
AHB38497.1.A3	threonine
AHB38497.1.A4	leucine
AHB38511.1.A1	leucine
AHB38515.1.A1	serine
AHB38515.1.A2	leucine
AHB82056.1.A1	asparagine
AHB82058.1.A1	glycine
AHB82058.1.A2	tryptophan
AHB82058.1.A3	glycine
AHB82059.1.A1	glycine
AHB82069.1.A1	asparagine
AHB82071.1.A1	glycine
AHB82071.1.A2	tryptophan
AHB82071.1.A3	glycine
AHB82072.1.A1	glycine
AHD05614.1.A1	arginine|lysine
AHD05615.1.A1	D-alanine
AHD05616.1.A1|AHD05621.1.A2	2,3-diaminopropionic acid
AHD05617.1.A1	lysine|ornithine
AHD05618.1.A1	serine
AHD05621.1.A3	glycine
AHD05627.1.A1	asparagine
AHD05677.1.A1	asparagine
AHD05677.1.A2	serine
AHD05678.1.A1	tyrosine
AHD05678.1.A2	asparagine
AHD05678.1.A3	glutamine
AHD05678.1.A4	proline
AHD05679.1.A2	asparagine
AHF20582.1.A1	4-hydroxyphenylglycine
AHF20582.1.A2	R-beta-hydroxytyrosine
AHF20583.1.A1	3,5-dihydroxyphenylglycine
AHF20584.1.A1	4-hydroxyphenylglycine
AHF20584.1.A2	4-hydroxyphenylglycine
AHF20584.1.A3	R-beta-hydroxytyrosine
AHF20585.1.A1	3,5-dihydroxyphenylglycine
AHF21228.1.A1	valine
AHF21228.1.A10	glutamic acid
AHF21228.1.A2	2,4-diaminobutyric acid
AHF21228.1.A3	glycine
AHF21228.1.A4	serine
AHF21228.1.A5	tryptophan
AHF21228.1.A6	serine
AHF21228.1.A7	2,4-diaminobutyric acid
AHF21228.1.A8	2,4-diaminobutyric acid
AHF21228.1.A9	phenylalanine
AHF21229.1.A1	valine
AHF21229.1.A2	isoleucine
AHF21229.1.A3	alanine
AHH53506.1.A1	tryptophan
AHH53506.1.A2	aspartic acid
AHH53506.1.A3	aspartic acid
AHH53506.1.A4	threonine
AHH53506.1.A5	glycine
AHH53507.1.A1	ornithine
AHH53507.1.A2	aspartic acid
AHH53507.1.A3	alanine
AHH53507.1.A4	aspartic acid
AHH53507.1.A5	glycine
AHH53507.1.A6	alanine
AHH53508.1.A1	glutamic acid
AHH53508.1.A2	kynurenine
AHI59108.1.A1	threonine
AHI59109.1.A1	glutamine
AHI59109.1.A2	aspartic acid
AHI59109.1.A3	glycine
AHI59110.1.A1	tyrosine
AHI59110.1.A2	valine
AHJ31215.1.A1	homotyrosine|homophenylalanine
AHJ31215.1.A2	proline|4S-methylproline
AHJ31215.1.A3	arginine
AHN91924.1.A1	phenylpyruvic acid
AHY86403.1.A1	serine
AHY86403.1.A2	isoleucine
AHZ20766.1.A1	2,3-dihydroxyhexadecanoic acid
AHZ20773.1.A1	threonine
AHZ20773.1.A2	tyrosine
AHZ20774.1.A1	threonine
AHZ20774.1.A2	glutamine
AHZ20774.1.A3	glycine
AHZ20781.1.A1	threonine
AHZ20781.1.A2	threonine
AHZ20784.1.A1	threonine
AHZ20784.1.A2	tyrosine|glutamine
AHZ34232.1.A1	leucine
AHZ34232.1.A2	leucine
AHZ34232.1.A3	glutamine
AHZ34233.1.A1	leucine
AHZ34233.1.A2	glutamine
AHZ34233.1.A3	valine
AHZ34233.1.A4	leucine
AHZ34233.1.A5	leucine
AHZ34238.1.A1	threonine
AHZ34238.1.A2	proline
AHZ34238.1.A3	alanine
AHZ34238.1.A4	alanine
AHZ34239.1.A1	alanine
AHZ34239.1.A2	alanine
AHZ34239.1.A3	valine
AHZ34240.1.A1	threonine
AHZ34240.1.A2	glycine
AHZ34241.1.A1	valine
AHZ34241.1.A2	isoleucine
AHZ34241.1.A3	glycine
AHZ34241.1.A4	alanine
AHZ34242.1.A1	valine
AHZ34242.1.A2	alanine
AHZ34242.1.A3	valine
AHZ34243.1.A1	threonine
AHZ34243.1.A2	threonine
AHZ34243.1.A3	alanine
AHZ34243.1.A4	2,4-diaminobutyric acid
AHZ34243.1.A5	serine
AHZ34243.1.A6	leucine|isoleucine|valine
AID65222.1.A1	asparagine
AID65222.1.A2	asparagine
AID65224.1.A1	asparagine
AID65224.1.A2	phenylalanine|S-beta-hydroxyphenylalanine
AID65225.1.A1	tyrosine
AIE77057.1.A1	4-hydroxyphenylglycine
AIE77057.1.A2	R-beta-hydroxytyrosine
AIE77058.1.A1	3,5-dihydroxyphenylglycine
AIE77059.1.A1	4-hydroxyphenylglycine
AIE77059.1.A2	4-hydroxyphenylglycine
AIE77059.1.A3	R-beta-hydroxytyrosine
AIE77060.1.A1	3,5-dihydroxyphenylglycine
AIE77076.1.A1	tyrosine
AIG79224.1.A1	tyrosine
AIG79240.1.A1	3,5-dihydroxyphenylglycine
AIG79241.1.A1	4-hydroxyphenylglycine
AIG79241.1.A2	4-hydroxyphenylglycine
AIG79241.1.A3	R-beta-hydroxytyrosine
AIG79242.1.A1	3,5-dihydroxyphenylglycine
AIG79243.1.A1	4-hydroxyphenylglycine
AIG79243.1.A2	R-beta-hydroxytyrosine
AIP87510.1.A1	D-serine
AIR74925.1.A1|CBD77749.1.A1	glycine
AIR74926.1.A1|CBD77746.1.A1	glycine
AIS24862.1.A1	guanidinoacetic acid
AIT38302.1.A1	leucine
AIW58892.1.A1	valine
AIW58892.1.A10	4-methoxytryptophan
AIW58892.1.A11	valine
AIW58892.1.A12	phenylalanine
AIW58892.1.A13	valine
AIW58892.1.A2	valine
AIW58892.1.A3	isoleucine|allo-isoleucine
AIW58892.1.A4	threonine
AIW58892.1.A5	threonine
AIW58892.1.A6	valine
AIW58892.1.A7	leucine
AIW58892.1.A8	valine
AIW58892.1.A9	valine
AIW82277.1.A1	asparagine
AIW82277.1.A2	proline
AIW82282.1.A1	valine
AIW82283.1.A1	threonine
AIW82283.1.A2	glutamine|asparagine
AIW82284.1.A1	threonine
AIW82284.1.A2	asparagine
AIW82284.1.A3	alanine
AIW82285.1.A1	threonine
AJF34463.1.A1	phenylalanine
AJF34463.1.A2	isoleucine
AJF34463.1.A3	serine
AJF34463.1.A4	glutamine
AJF34463.1.A5	isoleucine
AJF34463.1.A6	isoleucine
AJF34464.1.A1	serine
AJF34464.1.A2	threonine
AJF34464.1.A3	alanine
AJF34464.1.A4	enduracididine
AJF34464.1.A5	isoleucine
AJM89734.1.A1	threonine
AJM89735.1.A1	leucine
AJM89735.1.A2	leucine
AJM89735.1.A3	2,4-diaminobutyric acid
AJM89735.1.A4	2,4-diaminobutyric acid
AJM89738.1.A1	2,4-diaminobutyric acid
AJM89738.1.A2	threonine
AJM89738.1.A3	2,4-diaminobutyric acid
AJM89738.1.A4	2,4-diaminobutyric acid
AJM89738.1.A5	2,4-diaminobutyric acid
AJV88375.1.A1	allo-isoleucine|valine
AJV88375.1.A2	threonine
AJV88375.1.A3	tyrosine
AJV88376.1.A1	allo-isoleucine|valine
AJV88377.1.A1	leucine
AJV88377.1.A2	valine
AJV88383.1.A1	piperazic acid
AJW76709.1.A1	asparagine
AJW76709.1.A2	glycine
AJW76710.1.A1	leucine
AJW76710.1.A2	allo-isoleucine|valine
AJW76711.1.A1	tryptophan
AJW76711.1.A2	leucine
AJY78094.1.A1	lysine
AKA59436.1.A1	threonine
AKA59436.1.A2	leucine
AKA59447.1.A1	leucine
AKA59447.1.A2	valine
AKA59447.1.A3	threonine
AKA59447.1.A4	alanine
AKC54422.1.A1	tyrosine
AKC91849.1.A1	valine
AKC91849.1.A2	4R-methylproline
AKC91849.1.A3	threonine
AKC91849.1.A4	leucine
AKC91849.1.A5	4R-methylproline
AKC91849.1.A6	leucine
AKC91856.1.A1	valine
AKC91856.1.A2	proline
AKC91856.1.A3	leucine
AKC91857.1.A1	glycine
AKJ70942.1.A1	ornithine
AKJ70942.1.A2	threonine
AKJ70942.1.A3	4R-hydroxyproline
AKJ70942.1.A4	3R-hydroxyhomotyrosine
AKJ70942.1.A5	serine
AKJ70942.1.A6	3S-hydroxy-4S-methylproline
AKL78825.1.A1	glycine
AKP45395.1.A1	3-hydroxy-para-aminobenzoic acid
AKP45395.1.A2	2,3-dihydroxy-para-aminobenzoic acid
AKP45396.1.A1	asparagine
AKP45399.1.A1|AKP45399.1.A4	para-aminobenzoic acid
AKP45399.1.A2	para-aminobenzoic acid
AKP45400.1.A1	para-aminobenzoic acid
ALG65313.1.A1	asparagine
ALG65314.1.A1	allo-threonine
ALG65317.1.A1	serine
ALG65318.1.A1	leucine
ALG65318.1.A2	phenylalanine
ALG65319.1.A1	threonine|serine
ALG65319.1.A2	tyrosine
ALK27914.1.A1	4-hydroxyphenylglycine
ALK27914.1.A2	3,5-dihydroxyphenylglycine
ALK27914.1.A3	valine
ALK27914.1.A4	3,5-dihydroxyphenylglycine
ALK27915.1.A1	4-hydroxyphenylglycine
ALK27915.1.A2	3,5-dihydroxyphenylglycine
ALK27915.1.A3	4-hydroxyphenylglycine
ALK27915.1.A4	3,5-dihydroxyphenylglycine
ALK27915.1.A5	valine
ALK27915.1.A6	3,5-dihydroxyphenylglycine
ALK27916.1.A1	4-hydroxyphenylglycine
ALK27916.1.A2	phenylalanine
ALK27916.1.A3	aspartic acid
ALO65125.1.A1	2-aminoadipic acid
ALO65126.1.A1	serine
ALU98443.1.A1	R-beta-tyrosine|S-beta-tyrosine
ALV82356.1.A1	serine
ALV82356.1.A2	threonine
ALV82356.1.A3	tryptophan
ALV82356.1.A4	aspartic acid
ALV82356.1.A5	aspartic acid
ALV82356.1.A6	4-hydroxyphenylglycine
ALV82384.1.A1	aspartic acid
ALV82384.1.A2	glycine
ALV82384.1.A3	3-hydroxyasparagine|asparagine
ALV82388.1.A1	glutamic acid
ALV82388.1.A2	tryptophan
ALV86866.1.A1	aspartic acid branched
ALV86866.1.A2	serine
ALV86866.1.A3	threonine
ALV86866.1.A4	threonine|allo-threonine
ALV86867.1.A1	alanine
ALV86867.1.A2	glycine
ALV86867.1.A3	proline
ALV86867.1.A4	dehydrotryptophan
ALV86867.1.A5	R-beta-methyltryptophan
ALV86868.1.A1	leucine
ALV86868.1.A2	proline
AMM63162.1.A1	ornithine
AMM63162.1.A2	threonine
AMM63162.1.A3	4R-hydroxyproline
AMM63162.1.A4	3R-hydroxyhomotyrosine
AMM63162.1.A5	threonine
AMM63162.1.A6	3S-hydroxy-4S-methylproline
AMM63166.1.A1	linoleic acid
AMQ36132.1.A1	tryptophan
AMQ36132.1.A2	valine|alanine
AMQ36134.1.A1	anthranilic acid
AMT84997.1.A1	glycine
AMT84997.1.A2	alanine
AMT84997.1.A3	leucine
AMT84997.1.A4	dehydrophenylalanine|S-beta-hydroxyphenylalanine
AN0607.4.A1|AAP56239.1.A1	glycine
AN0607.4.A2|AAP56239.1.A2	glycine
AN0607.4.A3|AAP56239.1.A3	N5-acetyl-N5-hydroxyornithine
AN2545.A1|CBF87069.1.A1	glycine
AN2545.A2|CBF87069.1.A2	valine
AN2545.A3|CBF87069.1.A3	leucine
AN2545.A4|CBF87069.1.A4	alanine
AN2545.A5|CBF87069.1.A5	alanine
AND66115.1.A1	4-hydroxyphenylpyruvic acid
ANH11404.1.A1	alanine
ANH11405.1.A1	3S-methylaspartic acid branched
ANI24100.1.A1	valine
ANI24100.1.A2	cysteine
ANI24100.1.A3	phenylalanine
ANQ43347.1.A1	leucine
ANQ43347.1.A2	glutamic acid
ANQ43348.1.A1	threonine
ANQ43348.1.A2	isoleucine
ANQ43348.1.A3	leucine
ANQ43348.1.A4	serine
ANQ43349.1.A1	leucine
ANQ43349.1.A2	leucine
ANQ43349.1.A3	serine
ANQ43349.1.A4	isoleucine
ANX99773.1.A1	phenylpyruvic acid|benzoic acid
ANX99774.1.A1	threonine
ANX99775.1.A1	benzoic acid
ANX99776.1.A1	alanine|valine|serine
ANX99777.1.A1	alanine|valine|serine
ANY57892.1.A1	anthranilic acid
ANY57892.1.A2	O-methyltyrosine
ANZ15839.1.A1	ornithine
ANZ15839.1.A2	3S-hydroxyasparagine|asparagine
ANZ15840.1.A1	5-chlorotryptophan
ANZ15840.1.A2	valine
ANZ15840.1.A3	leucine|phenylalanine
ANZ15840.1.A4	isoleucine
AOA33121.1.A1	leucine
AOA33121.1.A2	aspartic acid
AOA33122.1.A1	threonine
AOA33122.1.A2	leucine
AOA33122.1.A3	leucine
AOA33122.1.A4	glutamine
AOA33123.1.A1	leucine
AOA33123.1.A2	isoleucine
AOZ21316.1.A1	glutamic acid
AOZ21320.1.A1	alanine
AOZ21320.1.A2	2,3-diaminopropionic acid
APD26279.1.A1	ornithine
APU91750.1.A1	threonine
APU91750.1.A10	glutamine
APU91750.1.A11	leucine
APU91750.1.A12	valine
APU91750.1.A2	proline
APU91750.1.A3	serine
APU91750.1.A4	leucine
APU91750.1.A5	valine
APU91750.1.A6	serine
APU91750.1.A7	leucine
APU91750.1.A8	valine
APU91750.1.A9	valine
APU91751.1.A1	threonine
APU91751.1.A2	threonine
APU91751.1.A3	isoleucine
APU91751.1.A4	homoserine
APU91751.1.A5	2,4-diaminobutyric acid
APU91751.1.A6	lysine
APZ78679.1.A1	threonine
APZ78679.1.A2	alanine
APZ78680.1.A1	leucine
APZ78680.1.A2	alanine
APZ78680.1.A3	glutamine
APZ78691.1.A1	threonine
APZ78691.1.A2	alanine
APZ78692.1.A1	leucine
APZ78692.1.A3	alanine
APZ78692.1.A4	glutamine
APZ78703.1.A1	threonine
APZ78703.1.A2	alanine
APZ78704.1.A1	leucine
APZ78704.1.A3	alanine
APZ78704.1.A4	glutamine
APZ78715.1.A1	threonine
APZ78715.1.A2	alanine
APZ78716.1.A1	leucine
APZ78716.1.A3	alanine
APZ78716.1.A4	glutamine
APZ78728.1.A1	threonine
APZ78728.1.A2	alanine
APZ78729.1.A1	leucine
APZ78729.1.A2	leucine
APZ78729.1.A3	proline
APZ78729.1.A4	alanine
APZ78729.1.A5	glutamine
APZ78743.1.A1	threonine
APZ78743.1.A2	alanine
APZ78744.1.A1	leucine
APZ78744.1.A2	proline
APZ78744.1.A3	alanine
APZ78744.1.A4	glutamine
APZ78755.1.A1	threonine
APZ78755.1.A2	alanine
APZ78756.1.A1	leucine
APZ78756.1.A2	proline
APZ78756.1.A3	glutamine
APZ78768.1.A1	threonine
APZ78768.1.A2	alanine
APZ78769.1.A1	leucine
APZ78769.1.A2	proline
APZ78769.1.A3	alanine
APZ78769.1.A4	glutamine
APZ78781.1.A1	threonine
APZ78781.1.A2	alanine
